Gene_ID	Gene_Name	Cross-validated R2	Number of Neigbors	Weights	P	Population
ENSG00000133193.8	FAM104A	-0.863304255937046	31	distance	1	AFA
ENSG00000156738.13	MS4A1	-0.199310681691816	29	uniform	2	AFA
ENSG00000120129.5	DUSP1	-0.198351826548429	31	distance	1	AFA
ENSG00000170122.4	FOXD4	-0.196941735501333	31	distance	1	AFA
ENSG00000174080.6	CTSF	-0.181510243156851	31	uniform	1	AFA
ENSG00000126267.4	COX6B1	-0.170266350644704	27	distance	3	AFA
ENSG00000156515.16	HK1	-0.169917913967446	11	distance	1	AFA
ENSG00000102854.10	MSLN	-0.166115994452495	31	uniform	1	AFA
ENSG00000101544.4	ADNP2	-0.164296089645532	31	uniform	1	AFA
ENSG00000131791.6	PRKAB2	-0.163094521024867	25	uniform	3	AFA
ENSG00000091732.11	ZC3HC1	-0.160312078526073	25	distance	1	AFA
ENSG00000065970.4	FOXJ2	-0.156095270577058	19	uniform	3	AFA
ENSG00000213658.5	LAT	-0.153447896095912	29	uniform	1	AFA
ENSG00000198218.6	QRICH1	-0.153369429800182	31	uniform	1	AFA
ENSG00000145649.7	GZMA	-0.152352610225555	29	distance	1	AFA
ENSG00000166311.5	SMPD1	-0.152044797625729	31	uniform	1	AFA
ENSG00000114391.8	RPL24	-0.148533339202093	31	uniform	2	AFA
ENSG00000084093.11	REST	-0.148217995511624	31	uniform	3	AFA
ENSG00000197162.8	ZNF785	-0.148072202581005	29	uniform	1	AFA
ENSG00000184110.10	EIF3C	-0.147962415369962	29	distance	1	AFA
ENSG00000139496.11	NUPL1	-0.1478382349489	31	uniform	3	AFA
ENSG00000141540.6	TTYH2	-0.146798307337863	29	distance	2	AFA
ENSG00000166170.9	BAG5	-0.146670003556372	31	uniform	1	AFA
ENSG00000023734.6	STRAP	-0.146471747661206	31	uniform	2	AFA
ENSG00000180644.6	PRF1	-0.144920792462053	27	distance	3	AFA
ENSG00000220205.4	VAMP2	-0.142949573050133	31	uniform	3	AFA
ENSG00000007255.6	TRAPPC6A	-0.142922254253355	31	uniform	1	AFA
ENSG00000099910.12	KLHL22	-0.142874692367136	25	uniform	2	AFA
ENSG00000152193.7	RNF219	-0.14258903940338	31	distance	3	AFA
