Gene_ID	Gene_Name	Cross-validated R2	RF Trees	Population
ENSG00000133193.8	FAM104A	-2.01475596950779	500	AFA
ENSG00000120129.5	DUSP1	-0.509090723693775	300	AFA
ENSG00000115155.12	OTOF	-0.497248638832331	100	AFA
ENSG00000162244.6	RPL29	-0.456224722440994	200	AFA
ENSG00000082438.11	COBLL1	-0.411019578199305	400	AFA
ENSG00000108278.7	ZNHIT3	-0.407189966737068	150	AFA
ENSG00000241106.2	HLA-DOB	-0.403573952543659	200	AFA
ENSG00000177455.7	CD19	-0.389876633016501	100	AFA
ENSG00000102854.10	MSLN	-0.358233361486265	150	AFA
ENSG00000141552.13	ANAPC11	-0.35610524007874	250	AFA
ENSG00000141552.13	ANAPC11	-0.352044547336797	500	AFA
ENSG00000081041.8	CXCL2	-0.340275781225273	350	AFA
ENSG00000169877.5	AHSP	-0.327664113262066	450	AFA
ENSG00000162298.12	SYVN1	-0.311050441649769	50	AFA
ENSG00000197262.8	CCL4L2	-0.284052758624311	100	AFA
ENSG00000198218.6	QRICH1	-0.279402672553857	100	AFA
ENSG00000144026.7	ZNF514	-0.279080236210747	500	AFA
ENSG00000166508.13	MCM7	-0.276974398485215	100	AFA
ENSG00000186265.5	BTLA	-0.276587402840889	300	AFA
ENSG00000118503.10	TNFAIP3	-0.267253746476481	50	AFA
ENSG00000185304.12	RGPD2	-0.266100099958114	150	AFA
ENSG00000206527.5	PTPLB	-0.258779947606645	50	AFA
ENSG00000139193.3	CD27	-0.255996676691556	50	AFA
ENSG00000175697.6	GPR156	-0.248265449743776	100	AFA
ENSG00000132185.12	FCRLA	-0.245608312594632	200	AFA
ENSG00000170122.4	FOXD4	-0.243232140640144	50	AFA
ENSG00000109906.9	ZBTB16	-0.238525226433391	450	AFA
ENSG00000168062.5	BATF2	-0.237964045030758	400	AFA
ENSG00000065970.4	FOXJ2	-0.235573026321027	50	AFA
ENSG00000101544.4	ADNP2	-0.233655519586002	500	AFA
ENSG00000106537.7	TSPAN13	-0.231749732100722	150	AFA
ENSG00000153563.11	CD8A	-0.228804382871134	50	AFA
ENSG00000152193.7	RNF219	-0.22872312818888	400	AFA
ENSG00000108465.10	CDK5RAP3	-0.223855510638416	250	AFA
ENSG00000163631.12	ALB	-0.221847615153067	200	AFA
ENSG00000156374.10	PCGF6	-0.221265221826855	450	AFA
ENSG00000117362.8	APH1A	-0.220259433534599	100	AFA
ENSG00000080007.6	DDX43	-0.220088837069625	350	AFA
ENSG00000103253.13	HAGHL	-0.218703003771407	150	AFA
ENSG00000165506.10	DNAAF2	-0.218573327802688	50	AFA
ENSG00000082512.10	TRAF5	-0.218292528736901	500	AFA
ENSG00000175482.4	POLD4	-0.218154156253791	50	AFA
ENSG00000205020.7	CCL4L1	-0.215714535838588	100	AFA
ENSG00000131791.6	PRKAB2	-0.215554126050135	100	AFA
ENSG00000128218.7	VPREB3	-0.215113763461294	500	AFA
ENSG00000215784.4	FAM72D	-0.211169839751322	200	AFA
ENSG00000162407.8	PPAP2B	-0.210599606209868	250	AFA
ENSG00000100906.6	NFKBIA	-0.206578664071834	500	AFA
ENSG00000203814.5	HIST2H2BF	-0.20640327845823	450	AFA
ENSG00000156515.16	HK1	-0.205238571902299	100	AFA
ENSG00000175213.2	ZNF408	-0.203593907525603	450	AFA
ENSG00000196588.10	MKL1	-0.201302755370157	500	AFA
ENSG00000167965.13	MLST8	-0.200632097799655	500	AFA
ENSG00000105369.5	CD79A	-0.20056275607125	400	AFA
ENSG00000126878.8	AIF1L	-0.200474576728509	150	AFA
ENSG00000007255.6	TRAPPC6A	-0.200246481528907	250	AFA
ENSG00000115271.6	GCA	-0.199249008819786	50	AFA
ENSG00000213619.5	NDUFS3	-0.198870452817679	50	AFA
ENSG00000114650.14	SCAP	-0.195680529815109	350	AFA
ENSG00000187147.13	RNF220	-0.194957473872957	150	AFA
ENSG00000197162.8	ZNF785	-0.19441981079758	500	AFA
ENSG00000081870.7	HSPB11	-0.193673229314512	400	AFA
ENSG00000141367.7	CLTC	-0.192686449389803	450	AFA
ENSG00000091651.4	ORC6	-0.191419207720751	200	AFA
ENSG00000178035.7	IMPDH2	-0.191130643721224	150	AFA
ENSG00000084093.11	REST	-0.190546467265435	200	AFA
ENSG00000174123.6	TLR10	-0.1899336464539	500	AFA
ENSG00000146757.9	ZNF92	-0.188922578079895	300	AFA
ENSG00000113810.11	SMC4	-0.188466287355861	350	AFA
ENSG00000214706.6	IFRD2	-0.188021732631462	500	AFA
ENSG00000114388.8	NPRL2	-0.187694566435347	350	AFA
ENSG00000064102.10	ASUN	-0.186907801529303	500	AFA
ENSG00000220205.4	VAMP2	-0.186829896247001	350	AFA
ENSG00000174080.6	CTSF	-0.186320554397222	250	AFA
ENSG00000197914.2	HIST1H4K	-0.186302363710957	200	AFA
ENSG00000064999.12	ANKS1A	-0.185645289489969	300	AFA
