Gene_ID	Gene_Name	CV_R2	n_estimators	time.s.
ENSG00000120942.9	UBIAD1	-0.0191718284288648	450	6125.03012514114
ENSG00000157916.14	RER1	0.12752869127964	100	3918.04084467888
ENSG00000158109.10	TPRG1L	0.120800865140113	350	6332.50624585152
ENSG00000180098.5	TRNAU1AP	-0.0328930247128652	450	5811.96982073784
ENSG00000130775.11	THEMIS2	0.0739693384147231	350	4786.8021671772
ENSG00000125944.14	HNRNPR	-0.00300077985656582	300	6351.5263504982
ENSG00000197530.8	MIB2	-0.0518967333902802	300	2150.83235478401
ENSG00000142794.14	NBPF3	0.05688886431484	450	8891.83993220329
ENSG00000224051.2	GLTPD1	-0.0633727963743928	500	1251.53466105461
ENSG00000162413.12	KLHL21	-0.0475481549918002	300	6651.83520126343
ENSG00000187980.6	PLA2G2C	-0.0959465763964046	200	8961.91477274895
ENSG00000090432.5	MUL1	0.10846059456556	500	7753.54788041115
ENSG00000011021.17	CLCN6	0.067084920211864	500	5661.79722046852
ENSG00000020633.14	RUNX3	0.031491347030588	500	6580.59753990173
ENSG00000171603.12	CLSTN1	-0.0400896327343111	500	5844.99760746956
ENSG00000065526.6	SPEN	-0.0508463400163847	500	7923.64790296555
ENSG00000060688.8	SNRNP40	0.110997760565555	500	7756.79006934166
ENSG00000116670.10	MAD2L2	-0.0417168434998709	300	5929.11728692055
ENSG00000090273.9	NUDC	-0.0241234493515522	450	5980.91696095467
ENSG00000204178.5	TMEM57	-0.0593023342238716	500	8147.67360949516
ENSG00000198912.6	C1orf174	0.0274971412573301	100	8204.58213591576
ENSG00000187608.5	ISG15	0.130890340460687	500	892.957510471344
ENSG00000116273.5	PHF13	0.0056924550835334	500	6563.24658727646
ENSG00000142632.11	ARHGEF19	0.407510686509834	500	6182.70699644089
ENSG00000162482.4	AKR7A3	0.0119367417491874	400	9145.72534036636
ENSG00000142669.9	SH3BGRL3	0.265278353763781	450	4747.69185447693
ENSG00000175206.6	NPPA	-0.0140893231557466	450	5742.47370243073
ENSG00000120948.11	TARDBP	-0.023851562563613	350	6248.5971558094
ENSG00000198793.8	MTOR	-0.0372443742293896	500	6440.21128773689
ENSG00000117640.13	MTFR1L	-0.0100343275476769	500	6086.54059767723
ENSG00000117682.12	DHDDS	-0.0269289038416696	200	5773.77292323112
ENSG00000160075.10	SSU72	0.222241178431145	300	1740.99581861496
ENSG00000049245.8	VAMP3	0.00458938180459256	100	7518.41626119614
ENSG00000204160.6	ZDHHC18	0.0232771573509423	450	5334.16390252113
ENSG00000117118.5	SDHB	-0.0358363649065169	450	7106.30672478676
ENSG00000158195.6	WASF2	-0.0724377967978665	300	5559.2292175293
ENSG00000162511.7	LAPTM5	-0.0469992675556109	400	10443.7341380119
ENSG00000198492.10	YTHDF2	-0.039860681609982	350	5481.19107270241
ENSG00000131697.13	NPHP4	0.00750981349045203	50	7515.61587429047
ENSG00000189409.8	MMP23B	-0.0404991307977649	450	2160.80805873871
ENSG00000117115.8	PADI2	0.015822393786283	350	6754.3334069252
ENSG00000116350.11	SRSF4	-0.0403654833085004	50	6278.13042163849
ENSG00000142751.10	GPN2	-0.0496230496298882	200	5087.9975540638
ENSG00000116649.5	SRM	-0.0378007128307018	300	6325.98417901993
ENSG00000159363.13	ATP13A2	-0.0451722835296025	200	7093.37688660622
ENSG00000069424.10	KCNAB2	-0.0290434557880229	350	7392.14897108078
ENSG00000067606.11	PRKCZ	-0.0569724489106891	450	3865.26246237755
ENSG00000178585.10	CTNNBIP1	-0.0207423019334072	300	5573.46983885765
ENSG00000116691.6	MIIP	-0.0400744848055712	350	5842.44103312492
ENSG00000009780.11	FAM76A	-0.0417840372214085	350	4966.96140933037
ENSG00000197785.9	ATAD3A	-0.05644608683081	500	1818.59312272072
ENSG00000120656.7	TAF12	-0.0898151867813497	450	6302.11696600914
ENSG00000078808.12	SDF4	-0.0282738622594654	500	1192.57947182655
ENSG00000186501.9	TMEM222	-0.057931019600494	500	4712.72835206985
ENSG00000142606.11	MMEL1	0.096694517214023	250	3884.03620767593
ENSG00000162585.12	C1orf86	0.046718957460092	200	3533.46974253654
ENSG00000049246.10	PER3	0.0103019793719494	500	7840.89029979706
ENSG00000157873.13	TNFRSF14	-0.00306272859478192	500	3933.95358657837
