Gene_ID	Gene_Name	CV_R2	n_neigbors	weights	p	time.s.
ENSG00000169403.7	PTAFR	-0.0224170493293184	31	uniform	1	4537.48464441299
ENSG00000142733.10	MAP3K6	-0.0351413467195602	31	uniform	2	3212.00455331802
ENSG00000117676.9	RPS6KA1	0.00826885919412299	31	uniform	3	4118.01091766357
ENSG00000142751.10	GPN2	-0.0175916921228145	25	uniform	1	3719.65089488029
ENSG00000171608.11	PIK3CD	-0.0171769267367703	31	distance	1	4777.80828499794
ENSG00000120656.7	TAF12	-0.0325684158260897	31	uniform	1	4924.74239373207
ENSG00000090432.5	MUL1	0.0333849820467127	27	distance	3	7260.17271661758
ENSG00000053372.4	MRTO4	0.00322632854311031	27	distance	2	7638.31563401222
ENSG00000182749.5	PAQR7	-0.00808683991663639	31	distance	3	4664.65073609352
ENSG00000133226.12	SRRM1	-0.0286716178944066	31	uniform	2	5379.7455227375
ENSG00000007968.6	E2F2	-0.0270328317098803	31	uniform	2	5230.55020689964
ENSG00000157191.15	NECAP2	0.190472657442301	27	distance	3	6338.23876023293
ENSG00000132906.13	CASP9	0.0947759068704336	21	uniform	1	7800.21026086807
ENSG00000178585.10	CTNNBIP1	-0.00704075086315239	31	distance	3	4579.9146926403
ENSG00000127483.13	HP1BP3	-0.015158950862605	29	distance	1	8027.02287626266
ENSG00000184677.12	ZBTB40	-0.0311210854806258	31	uniform	1	7556.43501472473
ENSG00000117640.13	MTFR1L	-0.014308615776891	27	uniform	3	4728.37980175018
ENSG00000121766.10	ZCCHC17	8.70242949427613e-05	31	uniform	3	7071.58475875854
ENSG00000253368.3	TRNP1	0.00790426439390712	31	uniform	3	4017.81092381477
ENSG00000130775.11	THEMIS2	0.04238250148987	31	uniform	2	3789.49353003502
ENSG00000142583.13	SLC2A5	0.12290766242717	21	distance	2	4915.64298152924
ENSG00000221978.7	CCNL2	-0.0217830083635831	31	uniform	1	1073.83816385269
ENSG00000048707.9	VPS13D	-0.0236488677946706	31	uniform	1	4387.4254283905
ENSG00000158825.5	CDA	0.302930569968715	15	distance	2	7470.5249171257
ENSG00000117308.10	GALE	-0.00912445826117501	31	uniform	2	5547.69909501076
ENSG00000142677.3	IL22RA1	-0.0419676904339725	31	distance	3	6245.08022451401
ENSG00000219481.6	NBPF1	-0.00404289247233125	31	uniform	2	5927.64795851707
ENSG00000131697.13	NPHP4	-0.00215392639123795	29	uniform	1	7370.89477705956
ENSG00000120948.11	TARDBP	-0.0428054557577132	31	uniform	3	5357.3248436451
ENSG00000075151.15	EIF4G3	0.014269567987377	31	uniform	1	9498.8748652935
ENSG00000158292.6	GPR153	-0.0349803175692264	27	uniform	1	6515.28937411308
ENSG00000142632.11	ARHGEF19	0.157107692241875	27	distance	2	6005.81349730492
ENSG00000204138.8	PHACTR4	0.0533898079478767	31	distance	2	4935.63723778725
ENSG00000117602.7	RCAN3	-0.00315275556120223	31	uniform	1	5251.94141483307
ENSG00000116251.5	RPL22	-0.0322819506009465	29	distance	1	7031.70469880104
ENSG00000158006.9	PAFAH2	-0.0183506187806075	29	distance	2	4633.34631490707
ENSG00000090020.6	SLC9A1	-0.0356616077261964	29	uniform	3	4125.32076764107
ENSG00000158195.6	WASF2	-0.0298360159496328	31	uniform	3	3849.00212335587
ENSG00000067606.11	PRKCZ	-0.00571289955711083	31	uniform	2	2632.69987559319
ENSG00000130764.5	LRRC47	-0.00409494291532007	31	uniform	1	6949.03340625763
ENSG00000116273.5	PHF13	-0.0103519565879812	31	uniform	2	6335.71628808975
ENSG00000125945.9	ZNF436	-0.0287973100782025	31	distance	1	5161.00290584564
ENSG00000157881.9	PANK4	-0.0272939549132205	31	distance	1	2977.05072236061
ENSG00000130770.13	ATPIF1	0.218920304328412	29	distance	3	4246.28992605209
ENSG00000117318.8	ID3	-0.0386831952845483	31	uniform	2	5114.87961673737
ENSG00000162438.7	CTRC	-0.0259305898552122	31	uniform	1	7630.14812326431
ENSG00000020633.14	RUNX3	-0.000373630482944298	31	distance	1	5200.97764921188
ENSG00000057757.5	PITHD1	-0.0172925600835829	31	uniform	1	5517.44330620766
ENSG00000116786.7	PLEKHM2	0.0265665755516467	31	uniform	1	6801.37995553017
ENSG00000173372.12	C1QA	-0.02228285261013	31	uniform	2	6301.04062986374
ENSG00000158156.7	XKR8	-0.00906494625335961	31	uniform	1	3761.97986507416
ENSG00000196581.6	AJAP1	-0.0380845456860973	31	uniform	3	9931.46574091911
ENSG00000158109.10	TPRG1L	-0.0382131432013151	29	uniform	1	5624.10879993439
