Gene_ID	Gene_Name	CV_R2	n_estimators	time.s.
ENSG00000169403.7	PTAFR	-0.0454143122160696	500	8739.96381831169
ENSG00000142733.10	MAP3K6	-0.0186687468096915	500	6302.28238511086
ENSG00000117676.9	RPS6KA1	0.0188749880205113	450	7585.47993803024
ENSG00000142751.10	GPN2	-0.0267872733302104	450	7177.32358717918
ENSG00000171608.11	PIK3CD	0.0109012913984938	500	9714.9516351223
ENSG00000120656.7	TAF12	-0.0490898081760043	400	9671.56213831902
ENSG00000090432.5	MUL1	0.169634482684257	300	13232.2424576283
ENSG00000053372.4	MRTO4	0.00215209360462707	500	14406.0584671497
ENSG00000182749.5	PAQR7	-0.0316868054432673	300	9510.98647403717
ENSG00000133226.12	SRRM1	-0.0413788516702328	450	11799.4798624516
ENSG00000007968.6	E2F2	-0.0114795347147795	500	10098.0975518227
ENSG00000157191.15	NECAP2	0.503344178236369	500	11349.032654047
ENSG00000132906.13	CASP9	0.0957427081489875	400	14379.6731920242
ENSG00000178585.10	CTNNBIP1	-0.00103119931991444	350	8543.40303850174
ENSG00000127483.13	HP1BP3	0.0105708355426042	150	15612.3670077324
ENSG00000184677.12	ZBTB40	-0.0291882205326682	450	15898.9682621956
ENSG00000117640.13	MTFR1L	-0.0177234861643883	450	9236.66462731361
ENSG00000121766.10	ZCCHC17	0.0154700662082217	450	13629.432407856
ENSG00000253368.3	TRNP1	0.113733748242951	500	7236.90290260315
ENSG00000130775.11	THEMIS2	0.0383976600421895	400	6920.59176015854
ENSG00000142583.13	SLC2A5	0.20810661215559	500	9120.90743613243
ENSG00000221978.7	CCNL2	-0.0193982927398655	500	2382.96431469917
ENSG00000048707.9	VPS13D	-0.0315763166028627	250	9555.29395627975
ENSG00000158825.5	CDA	0.568734177166454	300	13456.5553245544
ENSG00000117308.10	GALE	-0.0187046939047753	300	11539.9155576229
ENSG00000142677.3	IL22RA1	-0.0498888261528621	500	13301.4660289288
ENSG00000219481.6	NBPF1	-0.0151585597334955	500	11797.5626604557
ENSG00000131697.13	NPHP4	0.0201785624287794	500	14401.6920311451
ENSG00000120948.11	TARDBP	-0.0320348222224204	500	10396.5601685047
ENSG00000075151.15	EIF4G3	0.0172098347675188	400	17694.0529487133
ENSG00000158292.6	GPR153	-0.0528739522745465	400	12380.3848016262
ENSG00000142632.11	ARHGEF19	0.38612101235206	350	11045.8587124348
ENSG00000204138.8	PHACTR4	0.0212881711734243	500	9339.11959123611
ENSG00000117602.7	RCAN3	0.0120409969750727	500	10747.3902695179
ENSG00000116251.5	RPL22	-0.0253760119472671	400	13923.4672336578
ENSG00000158006.9	PAFAH2	0.00550943829088699	500	9132.14701890945
ENSG00000090020.6	SLC9A1	-0.0558991234128291	300	8144.43929648399
ENSG00000158195.6	WASF2	-0.0549258139690498	500	8267.83645582199
ENSG00000067606.11	PRKCZ	0.0066158848935566	450	5650.54484963417
ENSG00000130764.5	LRRC47	0.0103327341490929	350	14061.5008957386
ENSG00000116273.5	PHF13	-0.0064627147553743	200	12274.7946529388
ENSG00000125945.9	ZNF436	-0.0233812105334048	500	10265.091794014
ENSG00000157881.9	PANK4	-0.0427076936193582	400	6663.54559969902
ENSG00000130770.13	ATPIF1	0.315952213801	500	8314.40160799026
ENSG00000117318.8	ID3	-0.139919740075966	500	13729.8708093166
ENSG00000162438.7	CTRC	-0.00820991319667548	250	14887.7800438404
ENSG00000020633.14	RUNX3	0.0499907013813144	400	9744.31830620766
ENSG00000057757.5	PITHD1	-0.0145214195015203	500	10668.5610594749
ENSG00000116786.7	PLEKHM2	0.0517774733843433	300	12439.4857416153
ENSG00000173372.12	C1QA	0.000747738632364614	500	12357.1773221493
ENSG00000158156.7	XKR8	-0.00736789767679766	400	7703.42213177681
ENSG00000196581.6	AJAP1	-0.0286413225325454	500	19645.3100335598
ENSG00000158109.10	TPRG1L	0.19984474062632	500	10554.934877634
ENSG00000132881.7	RSG1	0.00953420239478138	150	9989.2762362957
ENSG00000008128.18	CDK11A	-0.0361523478421768	100	3446.56861877441
ENSG00000177674.11	AGTRAP	0.0374920108036317	300	9260.62194418907
ENSG00000162444.11	RBP7	0.0196218928572568	200	8458.01651310921
ENSG00000198912.6	C1orf174	0.0238115557738218	500	13247.6688156128
ENSG00000116670.10	MAD2L2	-0.0309874457863443	400	9884.0165348053
ENSG00000198793.8	MTOR	-0.00129627069523703	500	10716.7965118885
ENSG00000117758.9	STX12	-0.0199041075411308	500	6861.87156891823
ENSG00000171824.9	EXOSC10	-0.0338667912891897	450	10587.3110609055
ENSG00000158828.5	PINK1	0.0521047195965131	500	16939.3525726795
ENSG00000188529.10	SRSF10	-0.00758534435609157	300	11125.4502835274
ENSG00000173369.11	C1QB	0.0592050181312008	500	11832.1165537834
ENSG00000198492.10	YTHDF2	-0.0418205206701458	150	9063.32942223549
ENSG00000053371.8	AKR7A2	0.0703088620136202	200	16855.2207753658
ENSG00000116809.7	ZBTB17	-0.0200176981639876	500	12624.5004298687
ENSG00000188157.9	AGRN	-0.0876123810323683	500	1255.40205645561
ENSG00000159363.13	ATP13A2	-0.0348588042861342	300	12151.3794775009
