Gene_ID	Gene_Name	CV_R2	kernel	degree	C	time.s.
ENSG00000169403.7	PTAFR	-0.00404851660268943	poly	6	0.001	5389.77240467072
ENSG00000142733.10	MAP3K6	-0.00490905344020309	poly	6	5e-04	4348.08391571045
ENSG00000117676.9	RPS6KA1	0.0615612274767844	linear	2	5e-04	5656.2676217556
ENSG00000142751.10	GPN2	-0.0143472355952502	sigmoid	2	0.05	4927.19540929794
ENSG00000171608.11	PIK3CD	0.00165717381244621	rbf	2	0.05	7977.47623920441
ENSG00000120656.7	TAF12	-0.00576598627248912	sigmoid	2	5e-04	6835.14692807198
ENSG00000090432.5	MUL1	0.102836426844103	rbf	2	1	9400.95938110352
ENSG00000053372.4	MRTO4	0.00510755771365556	rbf	2	0.1	8140.61408948898
ENSG00000182749.5	PAQR7	-0.00417842203356726	sigmoid	2	0.1	7354.74962425232
ENSG00000133226.12	SRRM1	0.00195354430840815	rbf	2	0.1	8274.53702259064
ENSG00000007968.6	E2F2	0.00354314010640866	poly	6	5e-04	8849.7877035141
ENSG00000157191.15	NECAP2	0.451012922663139	linear	2	0.001	11420.8812026978
ENSG00000132906.13	CASP9	0.101904818620865	poly	2	0.05	9645.24279522896
ENSG00000178585.10	CTNNBIP1	0.00842266271879328	sigmoid	2	0.5	7613.24796319008
ENSG00000127483.13	HP1BP3	0.00479698761878606	poly	5	0.005	9357.68141794205
ENSG00000184677.12	ZBTB40	-0.0057780899550349	rbf	2	0.001	8410.80119681358
ENSG00000117640.13	MTFR1L	0.00735666176601539	rbf	2	0.05	7034.30925941467
ENSG00000121766.10	ZCCHC17	0.0132585376690085	sigmoid	2	0.1	9923.2956776619
ENSG00000253368.3	TRNP1	0.0493681950438043	linear	2	0.001	5288.34586238861
ENSG00000130775.11	THEMIS2	0.0554772478712309	poly	3	0.05	4908.52697277069
ENSG00000142583.13	SLC2A5	0.188019725758777	linear	2	5e-04	7722.32342267036
ENSG00000221978.7	CCNL2	-0.000804536499056763	poly	4	0.001	1157.91430783272
