Gene_ID	Gene_Name	Cross-validated R2	Kernel	Degree	C	Population
ENSG00000156515.16	HK1	-0.169143002576013	poly	7	0.005	AFA
ENSG00000153563.11	CD8A	-0.162381239917304	sigmoid	2	0.1	AFA
ENSG00000100450.8	GZMH	-0.150174939887292	poly	7	0.05	AFA
ENSG00000145649.7	GZMA	-0.147959243723877	sigmoid	2	0.1	AFA
ENSG00000134539.12	KLRD1	-0.145061273474498	sigmoid	2	1e-04	AFA
ENSG00000100453.8	GZMB	-0.141502845181467	sigmoid	2	1e-04	AFA
ENSG00000182472.4	CAPN12	-0.139837773675119	poly	7	0.1	AFA
ENSG00000091732.11	ZC3HC1	-0.134524099160011	poly	7	0.1	AFA
ENSG00000180644.6	PRF1	-0.133312262044317	poly	7	1e-04	AFA
ENSG00000167460.10	TPM4	-0.131617104381755	poly	7	0.05	AFA
ENSG00000126267.4	COX6B1	-0.129756456093112	sigmoid	2	1e-04	AFA
ENSG00000069702.6	TGFBR3	-0.128507863593845	rbf	2	0.5	AFA
ENSG00000174080.6	CTSF	-0.128452356827003	poly	7	1e-04	AFA
ENSG00000065970.4	FOXJ2	-0.12803485502829	sigmoid	2	1e-04	AFA
ENSG00000101544.4	ADNP2	-0.12738676402183	poly	7	0.05	AFA
ENSG00000184110.10	EIF3C	-0.126708911711535	sigmoid	2	0.005	AFA
ENSG00000023734.6	STRAP	-0.124632089316748	poly	5	0.5	AFA
ENSG00000151500.10	THYN1	-0.123890525683438	sigmoid	2	1	AFA
ENSG00000170122.4	FOXD4	-0.123378594102132	sigmoid	2	1e-04	AFA
ENSG00000163993.6	S100P	-0.12159071916816	poly	7	0.5	AFA
ENSG00000131791.6	PRKAB2	-0.120900838854056	poly	7	0.01	AFA
ENSG00000165819.7	METTL3	-0.119860106903237	poly	2	0.1	AFA
ENSG00000152193.7	RNF219	-0.116842699872681	sigmoid	2	1e-04	AFA
ENSG00000102854.10	MSLN	-0.116489508205068	sigmoid	2	1	AFA
ENSG00000198961.5	PJA2	-0.116242641459627	poly	7	1e-04	AFA
ENSG00000170385.9	SLC30A1	-0.112931117965455	poly	7	0.5	AFA
ENSG00000166311.5	SMPD1	-0.112786617087144	sigmoid	2	1e-04	AFA
ENSG00000165506.10	DNAAF2	-0.112496322153682	sigmoid	2	0.05	AFA
ENSG00000100938.13	GMPR2	-0.110125610986854	sigmoid	2	1e-04	AFA
ENSG00000175697.6	GPR156	-0.108545555893552	poly	7	0.05	AFA
ENSG00000101350.6	KIF3B	-0.108395083889958	poly	7	0.01	AFA
ENSG00000169413.2	RNASE6	-0.108212670870467	sigmoid	2	0.05	AFA
ENSG00000088247.11	KHSRP	-0.108048997899966	rbf	2	0.01	AFA
ENSG00000213658.5	LAT	-0.107967306120667	poly	6	0.1	AFA
ENSG00000104731.9	KLHDC4	-0.106853720861297	rbf	2	0.01	AFA
ENSG00000100934.10	SEC23A	-0.105318802797277	poly	7	1e-04	AFA
ENSG00000080007.6	DDX43	-0.105103847629161	poly	7	0.5	AFA
ENSG00000184270.3	HIST2H2AB	-0.105053301318728	poly	7	0.1	AFA
ENSG00000166170.9	BAG5	-0.104638645408531	sigmoid	2	0.5	AFA
ENSG00000139193.3	CD27	-0.104015370679492	poly	7	0.5	AFA
ENSG00000130511.10	SSBP4	-0.103996309384405	poly	7	0.05	AFA
ENSG00000139187.5	KLRG1	-0.103281959148776	sigmoid	2	1e-04	AFA
ENSG00000205336.7	GPR56	-0.103144865984504	poly	7	0.5	AFA
ENSG00000115271.6	GCA	-0.102577475289065	sigmoid	2	0.5	AFA
ENSG00000162729.9	IGSF8	-0.102564963615204	poly	7	0.05	AFA
ENSG00000169231.8	THBS3	-0.10132938087306	linear	2	1e-04	AFA
ENSG00000158985.9	CDC42SE2	-0.100762340114384	sigmoid	2	0.5	AFA
ENSG00000175073.7	VCPIP1	-0.100574912876151	poly	5	0.5	AFA
ENSG00000103035.6	PSMD7	-0.100184355881625	sigmoid	2	0.01	AFA
ENSG00000021574.7	SPAST	-0.099652586867279	poly	7	1e-04	AFA
ENSG00000116035.2	VAX2	-0.0994147438108566	poly	7	0.001	AFA
ENSG00000170604.3	IRF2BP1	-0.099285415343685	sigmoid	2	1e-04	AFA
ENSG00000203896.5	LIME1	-0.0991888584587435	sigmoid	2	1e-04	AFA
ENSG00000175324.5	LSM1	-0.0990551770839692	poly	4	0.1	AFA
ENSG00000158373.7	HIST1H2BD	-0.0987648177320846	poly	7	0.5	AFA
ENSG00000048392.7	RRM2B	-0.0987459204600216	sigmoid	2	0.5	AFA
ENSG00000100422.9	CERK	-0.0983894428939518	poly	7	1e-04	AFA
ENSG00000117625.9	RCOR3	-0.0978399201189681	poly	7	1	AFA
ENSG00000006831.9	ADIPOR2	-0.0967531195066859	poly	7	0.5	AFA
ENSG00000155363.14	MOV10	-0.0967425392030753	poly	7	1e-04	AFA
ENSG00000099910.12	KLHL22	-0.0965662609464822	poly	7	0.01	AFA
ENSG00000177463.11	NR2C2	-0.0965164134493687	rbf	2	0.005	AFA
ENSG00000148411.3	NACC2	-0.0957674058654843	poly	7	1e-04	AFA
ENSG00000119953.7	SMNDC1	-0.0957653868221957	sigmoid	2	0.05	AFA
ENSG00000068697.6	LAPTM4A	-0.0956902596231488	poly	7	0.005	AFA
ENSG00000111011.13	RSRC2	-0.095414140380459	rbf	2	0.5	AFA
ENSG00000104918.4	RETN	-0.0947086584172795	sigmoid	2	1e-04	AFA
ENSG00000064102.10	ASUN	-0.0945651693590052	poly	4	0.005	AFA
ENSG00000000419.8	DPM1	-0.0943473362504327	sigmoid	2	1e-04	AFA
ENSG00000127184.6	COX7C	-0.0939366582259461	sigmoid	2	0.5	AFA
ENSG00000156374.10	PCGF6	-0.0938592867416045	poly	6	0.01	AFA
ENSG00000104522.11	TSTA3	-0.0938587846751705	poly	7	0.005	AFA
ENSG00000137441.7	FGFBP2	-0.0934185128473259	poly	7	1.5	AFA
ENSG00000205358.3	MT1H	-0.0925808693820668	poly	7	1e-04	AFA
ENSG00000133243.4	BTBD2	-0.0923480383197276	poly	4	0.005	AFA
ENSG00000167286.5	CD3D	-0.0922213914577348	sigmoid	2	1e-04	AFA
ENSG00000204599.10	TRIM39	-0.0918965445256535	poly	6	5e-04	AFA
ENSG00000102879.11	CORO1A	-0.091600875316501	sigmoid	2	0.05	AFA
ENSG00000220205.4	VAMP2	-0.0913282825123585	sigmoid	2	0.01	AFA
ENSG00000105677.7	TMEM147	-0.0912384846494852	poly	6	0.05	AFA
ENSG00000124767.6	GLO1	-0.0910733582337476	sigmoid	2	0.05	AFA
ENSG00000053108.12	FSTL4	-0.0909468532791132	sigmoid	2	0.5	AFA
ENSG00000128218.7	VPREB3	-0.0906396727844155	poly	7	0.001	AFA
ENSG00000189068.5	VSTM1	-0.0905267763411864	poly	7	0.5	AFA
ENSG00000066294.10	CD84	-0.0903259558822212	poly	7	0.05	AFA
ENSG00000138378.13	STAT4	-0.0902702097761406	sigmoid	2	1e-04	AFA
ENSG00000166289.5	PLEKHF1	-0.0895603986712229	sigmoid	2	1e-04	AFA
ENSG00000132185.12	FCRLA	-0.0895484655375414	rbf	2	0.1	AFA
ENSG00000163513.13	TGFBR2	-0.0891778620828081	sigmoid	2	0.5	AFA
ENSG00000007255.6	TRAPPC6A	-0.0891502664959654	sigmoid	2	1e-04	AFA
ENSG00000164066.7	INTU	-0.0890116662496404	poly	4	0.1	AFA
ENSG00000163625.11	WDFY3	-0.0888974651046749	sigmoid	2	0.5	AFA
ENSG00000185215.4	TNFAIP2	-0.0888623326254511	linear	2	1e-04	AFA
ENSG00000162496.4	DHRS3	-0.0886541187840938	sigmoid	2	1e-04	AFA
ENSG00000012061.11	ERCC1	-0.0885897838463175	sigmoid	2	1e-04	AFA
ENSG00000105708.8	ZNF14	-0.0885257623464573	sigmoid	2	0.1	AFA
ENSG00000094880.6	CDC23	-0.0884796491215524	sigmoid	2	1e-04	AFA
ENSG00000171497.4	PPID	-0.0884122387020439	poly	6	0.01	AFA
ENSG00000128311.9	TST	-0.0883793845963587	poly	7	0.005	AFA
ENSG00000167236.2	CCL23	-0.0880759984716456	rbf	2	1.5	AFA
ENSG00000144233.5	AMMECR1L	-0.0880395382393831	sigmoid	2	0.05	AFA
ENSG00000130561.12	SAG	-0.0879583788827391	rbf	2	0.5	AFA
ENSG00000165731.13	RET	-0.0877381230803111	sigmoid	2	0.1	AFA
ENSG00000110848.4	CD69	-0.0871503120439798	poly	7	0.001	AFA
ENSG00000115523.12	GNLY	-0.0869777035640684	sigmoid	2	0.5	AFA
ENSG00000146833.11	TRIM4	-0.0869358683872729	rbf	2	0.1	AFA
ENSG00000174306.17	ZHX3	-0.0869307012448159	poly	7	1	AFA
ENSG00000085871.4	MGST2	-0.086675991075619	sigmoid	2	1.5	AFA
ENSG00000101558.9	VAPA	-0.0866120115579128	poly	7	1.5	AFA
ENSG00000136826.10	KLF4	-0.0865922400933603	sigmoid	2	0.01	AFA
ENSG00000156802.8	ATAD2	-0.0865153825412269	sigmoid	2	0.001	AFA
ENSG00000140743.3	CDR2	-0.0864589803591751	sigmoid	2	1e-04	AFA
ENSG00000065526.6	SPEN	-0.0863554513908249	sigmoid	2	1e-04	AFA
ENSG00000134470.15	IL15RA	-0.0859714834751468	rbf	2	0.005	AFA
ENSG00000096063.10	SRPK1	-0.0857530276196809	sigmoid	2	0.5	AFA
ENSG00000141867.13	BRD4	-0.0856174163747617	sigmoid	2	0.001	AFA
ENSG00000173744.12	AGFG1	-0.0852794466440552	sigmoid	2	1e-04	AFA
ENSG00000141696.8	LEPREL4	-0.0850485831796162	poly	7	0.1	AFA
ENSG00000010282.10	HHATL	-0.0850103454310968	poly	7	0.5	AFA
ENSG00000198218.6	QRICH1	-0.084932870841242	sigmoid	2	1e-04	AFA
ENSG00000158882.8	TOMM40L	-0.0848524211031812	poly	7	0.01	AFA
ENSG00000070614.10	NDST1	-0.084819141796416	sigmoid	2	0.05	AFA
ENSG00000140521.7	POLG	-0.084621442202678	sigmoid	2	0.5	AFA
ENSG00000114391.8	RPL24	-0.0846099591060671	sigmoid	2	1e-04	AFA
ENSG00000162613.12	FUBP1	-0.084160715096866	poly	7	0.001	AFA
ENSG00000084093.11	REST	-0.0841596137942528	poly	7	0.001	AFA
ENSG00000166446.9	CDYL2	-0.0841134180550404	poly	7	0.01	AFA
ENSG00000183273.2	CCDC60	-0.0840049768548611	poly	7	1	AFA
ENSG00000122507.16	BBS9	-0.0839340027221801	sigmoid	2	0.5	AFA
ENSG00000110395.4	CBL	-0.0837416454928807	rbf	2	0.1	AFA
ENSG00000120254.11	MTHFD1L	-0.0835760109679184	poly	7	0.5	AFA
ENSG00000172780.12	RAB43	-0.0835523284849078	sigmoid	2	1	AFA
ENSG00000027869.7	SH2D2A	-0.0834894247604393	sigmoid	2	1e-04	AFA
ENSG00000162073.9	PAQR4	-0.0834719115013648	poly	7	0.1	AFA
ENSG00000139496.11	NUPL1	-0.0833440406538866	sigmoid	2	1e-04	AFA
ENSG00000157020.13	SEC13	-0.083254027290993	poly	7	0.01	AFA
ENSG00000152439.8	ZNF773	-0.0829869834281815	sigmoid	2	0.5	AFA
ENSG00000171206.8	TRIM8	-0.0829378900668752	sigmoid	2	0.05	AFA
ENSG00000163631.12	ALB	-0.0827552656032363	sigmoid	2	0.05	AFA
ENSG00000214022.7	REPIN1	-0.0824841624234323	poly	7	0.5	AFA
ENSG00000253729.3	PRKDC	-0.0823760111788762	rbf	2	1e-04	AFA
ENSG00000135940.2	COX5B	-0.0822293861757838	poly	3	0.05	AFA
ENSG00000156671.7	SAMD8	-0.0820193180387863	poly	7	0.1	AFA
ENSG00000061936.5	SFSWAP	-0.081605208546985	poly	5	0.01	AFA
ENSG00000180720.6	CHRM4	-0.0812475207475641	sigmoid	2	0.1	AFA
ENSG00000152582.8	SPEF2	-0.0812028423675969	poly	7	2	AFA
ENSG00000158859.8	ADAMTS4	-0.0809304642824571	poly	7	1e-04	AFA
ENSG00000172113.4	NME6	-0.0808141313110026	sigmoid	2	5e-04	AFA
ENSG00000150403.13	TMCO3	-0.0807527083577452	poly	7	0.05	AFA
ENSG00000242252.1	BGLAP	-0.0801383178247308	poly	7	0.5	AFA
ENSG00000138795.5	LEF1	-0.0801112765736104	sigmoid	2	1e-04	AFA
ENSG00000136026.9	CKAP4	-0.0799235037796853	rbf	2	0.1	AFA
ENSG00000077984.4	CST7	-0.0796915023051066	poly	7	1e-04	AFA
ENSG00000170627.5	GTSF1	-0.0796859781339393	poly	2	0.01	AFA
ENSG00000096070.15	BRPF3	-0.0795572683657112	poly	3	0.1	AFA
ENSG00000037637.6	FBXO42	-0.0793428760871221	sigmoid	2	1e-04	AFA
ENSG00000035720.3	STAP1	-0.0792667485006799	sigmoid	2	0.05	AFA
ENSG00000180884.9	ZNF792	-0.0792519408387081	poly	4	0.05	AFA
ENSG00000197124.7	ZNF682	-0.0790565477935771	sigmoid	2	1e-04	AFA
ENSG00000183486.8	MX2	-0.0788815092630497	sigmoid	2	1e-04	AFA
ENSG00000237190.3	CDKN2AIPNL	-0.0788217268871545	poly	7	0.05	AFA
ENSG00000108700.4	CCL8	-0.0788145951915407	rbf	2	0.1	AFA
ENSG00000163519.9	TRAT1	-0.0786238960420263	poly	7	2	AFA
ENSG00000164967.5	RPP25L	-0.0785954293769804	poly	7	0.005	AFA
ENSG00000132465.6	IGJ	-0.0785585616998798	poly	5	0.01	AFA
ENSG00000116199.7	FAM20B	-0.0783726136796139	poly	7	0.5	AFA
ENSG00000141540.6	TTYH2	-0.078364413953762	poly	7	1e-04	AFA
ENSG00000120306.5	CYSTM1	-0.0783562820440096	sigmoid	2	0.05	AFA
ENSG00000069956.7	MAPK6	-0.0782001703860522	poly	7	0.05	AFA
