Gene_ID	Gene_Name	CV_R2	kernel	degree	C	time.s.
ENSG00000120942.9	UBIAD1	-0.0153610276738787	poly	7	0.001	1646.51119709015
ENSG00000157916.14	RER1	0.0228744729242789	sigmoid	2	0.5	1164.74385356903
ENSG00000158109.10	TPRG1L	0.0154656545700588	rbf	2	0.5	1671.21902656555
ENSG00000180098.5	TRNAU1AP	0.000880485691377308	poly	4	0.001	1589.61200094223
ENSG00000130775.11	THEMIS2	0.0731640400844181	poly	2	0.1	1540.56067919731
ENSG00000125944.14	HNRNPR	-0.00347562555521943	sigmoid	2	1e-04	1596.20965862274
ENSG00000197530.8	MIB2	-0.0025539604077786	poly	4	0.005	786.822819471359
ENSG00000142794.14	NBPF3	0.0395663153867372	sigmoid	2	1.5	2194.89473509789
ENSG00000224051.2	GLTPD1	-0.0094293259848913	sigmoid	2	1e-04	412.682806253433
ENSG00000162413.12	KLHL21	-0.0296320354652875	sigmoid	2	1e-04	1643.26101136208
ENSG00000187980.6	PLA2G2C	-0.016969880352163	sigmoid	2	1e-04	1958.43578219414
ENSG00000090432.5	MUL1	0.0370431070064237	poly	2	0.5	1909.27107071877
ENSG00000011021.17	CLCN6	0.0755906296002655	sigmoid	2	1	1738.66976737976
ENSG00000020633.14	RUNX3	0.0163097613238715	poly	3	0.05	1722.30479049683
ENSG00000171603.12	CLSTN1	-0.0135554744242525	poly	7	1e-04	1325.37697982788
ENSG00000065526.6	SPEN	0.000344453108667619	sigmoid	2	0.1	1924.54360675812
ENSG00000060688.8	SNRNP40	0.0617891438397525	poly	7	0.01	2220.21318793297
ENSG00000116670.10	MAD2L2	-0.0054850391011195	poly	4	0.005	1332.35613465309
ENSG00000090273.9	NUDC	-0.0162679530377009	sigmoid	2	0.001	1933.21002554893
ENSG00000204178.5	TMEM57	-0.0194582624811325	poly	7	5e-04	2077.27048563957
ENSG00000198912.6	C1orf174	-0.00456633201475005	rbf	2	0.05	1893.16259789467
ENSG00000187608.5	ISG15	0.0932540265966797	linear	2	0.001	289.882986545563
ENSG00000116273.5	PHF13	0.00876304336025751	poly	7	0.005	1715.14321947098
ENSG00000142632.11	ARHGEF19	0.289137481107065	linear	2	5e-04	1803.82660889626
ENSG00000162482.4	AKR7A3	0.000751337509081051	poly	7	0.005	1938.09030532837
ENSG00000142669.9	SH3BGRL3	0.274489604316884	linear	2	5e-04	1958.40705919266
ENSG00000175206.6	NPPA	-0.00496486140928813	poly	7	0.001	1351.99780774117
ENSG00000120948.11	TARDBP	-0.00477808504642718	sigmoid	2	1e-04	1526.14546012878
ENSG00000198793.8	MTOR	0.00681269185340747	poly	7	0.005	1622.0656914711
ENSG00000117640.13	MTFR1L	-0.00279525292001876	sigmoid	2	0.5	1597.64030528069
ENSG00000117682.12	DHDDS	-0.00652405928796676	poly	5	0.001	1567.56826639175
ENSG00000160075.10	SSU72	0.162263741166533	linear	2	0.001	827.891141176224
ENSG00000049245.8	VAMP3	-0.00285138836681329	poly	7	0.01	1786.78077149391
ENSG00000204160.6	ZDHHC18	-0.00146302384179249	rbf	2	5e-04	1860.62753629684
ENSG00000117118.5	SDHB	-0.00623152852325706	poly	7	1e-04	2021.48236656189
ENSG00000158195.6	WASF2	-0.00426834355128323	sigmoid	2	1e-04	1566.46300196648
ENSG00000162511.7	LAPTM5	-0.0116896346674525	poly	7	0.001	2864.98960089684
ENSG00000198492.10	YTHDF2	-0.00580594975229032	rbf	2	0.05	1819.70622444153
ENSG00000131697.13	NPHP4	-0.00372222761973187	poly	2	0.05	2017.24630069733
ENSG00000189409.8	MMP23B	-0.00408914840639931	poly	6	1e-04	800.960029125214
ENSG00000117115.8	PADI2	0.032271758466713	linear	2	1e-04	1927.60683703423
ENSG00000116350.11	SRSF4	-0.0100119249165334	sigmoid	2	1e-04	1687.58349847794
ENSG00000142751.10	GPN2	-0.00246616328509017	sigmoid	2	5e-04	1532.54224205017
ENSG00000116649.5	SRM	-0.010550577967587	poly	6	0.005	1644.67155766487
ENSG00000159363.13	ATP13A2	-0.00965407341383662	poly	7	0.001	1971.85732197762
ENSG00000069424.10	KCNAB2	-0.000499720523929081	sigmoid	2	1e-04	1822.38591718674
ENSG00000067606.11	PRKCZ	-0.0125890644745294	poly	5	5e-04	1262.88935303688
ENSG00000178585.10	CTNNBIP1	-0.00146458792102913	sigmoid	2	0.5	1453.99518275261
ENSG00000116691.6	MIIP	-0.000939756209083864	rbf	2	0.1	1345.83041548729
ENSG00000009780.11	FAM76A	-0.00813546311622737	sigmoid	2	0.1	1397.59601306915
ENSG00000197785.9	ATAD3A	-0.00329061285842147	sigmoid	2	0.1	693.462587356567
ENSG00000120656.7	TAF12	-0.00255174680210728	sigmoid	2	0.01	1833.42487668991
ENSG00000078808.12	SDF4	-0.00208984566888464	linear	2	0.001	363.619280338287
ENSG00000186501.9	TMEM222	-0.00600101235435488	sigmoid	2	1e-04	1540.58405256271
ENSG00000142606.11	MMEL1	0.103906156941874	sigmoid	2	0.5	1092.72599935532
ENSG00000162585.12	C1orf86	0.0444029145503139	sigmoid	2	0.5	1276.36592578888
ENSG00000049246.10	PER3	-0.0201484769804249	poly	7	0.001	1894.95364689827
ENSG00000157873.13	TNFRSF14	0.00685683515426045	sigmoid	2	0.1	1287.89894080162
ENSG00000173436.9	MINOS1	-0.0225042136885342	rbf	2	0.1	2008.02065944672
ENSG00000117602.7	RCAN3	-7.79354565492163e-06	poly	2	0.05	1624.36636519432
ENSG00000142657.16	PGD	-0.024384071877575	sigmoid	2	1e-04	1180.05811142921
ENSG00000130770.13	ATPIF1	0.277400687510396	linear	2	5e-04	1667.22921419144
ENSG00000162444.11	RBP7	0.0915946783835965	rbf	2	1	1262.65780043602
ENSG00000204138.8	PHACTR4	0.101367642235413	linear	2	1e-04	1799.18123459816
ENSG00000158292.6	GPR153	-0.0401472655008475	sigmoid	2	1e-04	1682.61454844475
ENSG00000171729.9	TMEM51	0.48018364801256	poly	2	1.5	2082.05736303329
ENSG00000188976.6	NOC2L	-0.00919325516756722	poly	3	0.001	282.605371713638
ENSG00000188290.6	HES4	0.0532470438761561	linear	2	0.005	305.062711954117
ENSG00000244038.5	DDOST	0.00529817534970682	poly	7	0.005	1940.01562833786
ENSG00000184677.12	ZBTB40	-0.0116207657354078	sigmoid	2	1e-04	2343.4823653698
ENSG00000117318.8	ID3	-0.0478980458679683	poly	6	0.05	1820.84302783012
ENSG00000117616.13	C1orf63	-0.0188294018575262	sigmoid	2	1e-04	1941.30140447617
ENSG00000008128.18	CDK11A	-0.0147303030375836	sigmoid	2	1e-04	842.978946685791
ENSG00000159189.7	C1QC	0.00188530135933387	sigmoid	2	0.5	1962.07442092896
ENSG00000182749.5	PAQR7	-0.0280108242150476	rbf	2	0.1	1611.46302843094
ENSG00000142634.8	EFHD2	-0.00779281687361344	poly	6	0.005	2087.80622911453
ENSG00000162430.12	SEPN1	-0.0122015154482029	sigmoid	2	1e-04	1738.00376558304
ENSG00000173614.9	NMNAT1	-0.00383343462752204	poly	6	0.01	1193.08664989471
ENSG00000116237.11	ICMT	0.000766873291023451	rbf	2	0.1	1651.94324374199
ENSG00000189266.7	PNRC2	0.029136884991895	sigmoid	2	2	1654.66749930382
ENSG00000177674.11	AGTRAP	-0.00923987410562748	sigmoid	2	1e-04	1585.3633685112
ENSG00000215695.1	RSC1A1	0.00218633523694149	poly	6	0.005	1904.74956846237
ENSG00000179163.11	FUCA1	0.299073034436605	linear	2	0.001	1693.01776599884
ENSG00000121766.10	ZCCHC17	0.022166258612568	rbf	2	0.1	2179.34486985207
ENSG00000162419.8	GMEB1	-0.0139567408156545	sigmoid	2	1e-04	1599.12376475334
ENSG00000131591.13	C1orf159	-0.0186190333040253	sigmoid	2	1e-04	332.451070547104
ENSG00000204859.7	ZBTB48	-0.00124112744930827	sigmoid	2	1e-04	1657.91038632393
ENSG00000117215.10	PLA2G2D	-0.0255349167138322	sigmoid	2	1e-04	1957.11648154259
ENSG00000057757.5	PITHD1	0.000496853410629705	poly	2	0.05	1839.87443971634
ENSG00000142765.13	SYTL1	-0.00707998170711988	sigmoid	2	1e-04	1317.25711464882
ENSG00000083444.12	PLOD1	0.0201430969949152	poly	5	0.01	1408.83541607857
ENSG00000158062.16	UBXN11	0.0428434746920596	sigmoid	2	0.5	1773.30873584747
ENSG00000117758.9	STX12	-0.00989886300877576	poly	6	0.001	1639.39860725403
