Gene_ID	Gene_Name	CV_R2	n_neigbors	weights	p	time.s.
ENSG00000120942.9	UBIAD1	-0.0396351277667542	31	distance	3	1892.88189458847
ENSG00000157916.14	RER1	-0.0349550988754215	31	uniform	1	1072.29914093018
ENSG00000158109.10	TPRG1L	-0.00802416817760285	29	distance	2	1896.59366583824
ENSG00000180098.5	TRNAU1AP	-0.0117038541097308	31	uniform	3	1766.64222002029
ENSG00000130775.11	THEMIS2	0.0592995655893443	31	distance	3	1506.73348450661
ENSG00000125944.14	HNRNPR	-0.0354815092883874	29	distance	3	1944.2294049263
ENSG00000197530.8	MIB2	-0.0150836763590443	29	distance	1	577.198639392853
ENSG00000142794.14	NBPF3	-0.00372558785411321	31	uniform	2	2805.25206851959
ENSG00000224051.2	GLTPD1	-0.0593407985625003	31	uniform	2	342.6594145298
ENSG00000162413.12	KLHL21	-0.0662632081704153	31	uniform	1	2021.8552544117
ENSG00000187980.6	PLA2G2C	-0.0515885625894867	31	uniform	2	2426.07026457787
ENSG00000090432.5	MUL1	-0.0065838012964228	31	distance	3	2357.61810302734
ENSG00000011021.17	CLCN6	0.0341136592623625	31	uniform	1	1800.16385817528
ENSG00000020633.14	RUNX3	0.0212481564321448	31	distance	2	2084.4814581871
ENSG00000171603.12	CLSTN1	-0.0456137517382992	31	distance	3	1673.87754225731
ENSG00000065526.6	SPEN	-0.0347646921997316	31	uniform	1	2129.2136528492
ENSG00000060688.8	SNRNP40	0.0609562456495761	23	uniform	1	2544.94793748856
ENSG00000116670.10	MAD2L2	-0.0339373706815804	29	distance	1	1627.0752851963
ENSG00000090273.9	NUDC	-0.0270389528387781	29	uniform	1	1757.62219309807
ENSG00000204178.5	TMEM57	-0.025891981686608	31	uniform	3	2291.02222180367
ENSG00000198912.6	C1orf174	-0.0175307526813806	31	uniform	3	2369.9009449482
ENSG00000187608.5	ISG15	0.0328081256428028	25	uniform	3	238.292896986008
ENSG00000116273.5	PHF13	-0.0274186604183007	31	distance	1	2018.0298743248
